prefix	equation
- (/ 2 6) 10	I want to calculate two divided by 6 - ten?
+ (* 1 1) 7	I want to calculate one * one added with 7?
- (/ 1 2) 10	I would like to know what is one divided by 2 - ten?
* (/ 5 7) 8	How many is five / seven times eight?
* (/ 4 10) 5	what is four / 10 times 5?
+ (- 8 3) 3	I want to calculate 8 - three added with 3?
* (+ 7 4) 4	what is 7 + four * four?
+ (/ 5 6) 3	I would like to know what is 5 / 6 added with 3?
+ (/ 1 2) 9	I would like to know what is one divided by 2 plus nine?
/ (* 6 10) 6	what is 6 * 10 / 6?
* (- 5 5) 3	I would like to know what is 5 - 5 * three?
- (/ 10 9) 10	I want to calculate ten / 9 minus 10?
+ (/ 6 4) 4	I want to calculate 6 divided by 4 + four?
- (* 9 9) 2	How many is nine * 9 minus two?
* (+ 7 3) 6	I would like to know what is seven + three times 6?
/ (/ 3 2) 7	what is 3 / 2 / seven?
* (/ 8 1) 3	what is 8 / 1 * three?
+ (* 1 5) 1	How many is 1 * five plus 1?
/ (+ 1 8) 8	what is one + eight / 8?
+ (* 6 8) 1	I want to calculate six * 8 plus one?
/ (+ 4 6) 2	what is four + 6 / 2?
- (* 10 6) 4	what is ten * six - 4?
- (* 10 9) 5	I want to calculate 10 * 9 minus 5?
+ (- 9 6) 1	I would like to know what is 9 - 6 plus one?
+ (- 10 8) 5	How many is 10 - eight added with five?
+ (- 7 7) 3	what is seven - seven plus 3?
* (/ 7 5) 8	How many is seven / five multiplied by eight?
- (* 6 3) 2	I would like to know what is 6 multiplied by three - two?
/ (/ 3 9) 9	I want to calculate three / 9 divided by nine?
- (* 5 7) 10	what is 5 times seven extracted by ten?
- (+ 1 6) 4	what is one plus 6 - four?
- (* 2 8) 9	How many is two * eight extracted by 9?
/ (+ 4 1) 6	How many is four added with one divided by 6?
* (+ 4 2) 3	I want to calculate four plus 2 * three?
/ (+ 3 9) 1	I would like to know what is 3 plus 9 divided by one?
+ (* 7 4) 1	I want to calculate seven * four plus 1?
- (* 6 10) 8	I want to calculate six * ten minus eight?
- (+ 3 5) 5	How many is three added with five extracted by five?
* (/ 3 6) 10	I want to calculate three / six times 10?
- (+ 3 7) 2	How many is 3 plus 7 - two?
+ (/ 2 5) 3	I would like to know what is two / 5 + 3?
+ (* 3 9) 9	I would like to know what is 3 times nine + nine?
* (- 6 9) 5	I would like to know what is six - 9 times 5?
/ (+ 8 1) 7	I would like to know what is 8 added with 1 / seven?
* (* 1 2) 8	How many is 1 times two times 8?
- (* 3 3) 10	I want to calculate three multiplied by 3 minus 10?
- (+ 8 10) 4	what is eight added with ten extracted by 4?
* (+ 1 5) 10	I would like to know what is 1 + five * ten?
* (- 5 7) 4	How many is five extracted by 7 multiplied by 4?
* (/ 3 8) 8	what is three / 8 multiplied by eight?
- (- 3 1) 1	How many is three extracted by one extracted by one?
* (/ 10 7) 4	I want to calculate ten divided by 7 multiplied by 4?
* (/ 5 4) 6	what is 5 divided by 4 multiplied by 6?
- (* 6 1) 2	How many is 6 multiplied by 1 - two?
- (/ 8 7) 6	How many is 8 / 7 minus 6?
* (+ 10 1) 10	I want to calculate 10 plus one times 10?
* (- 4 10) 7	what is four minus 10 times 7?
/ (+ 10 4) 1	I want to calculate 10 added with four divided by 1?
* (/ 9 4) 7	I want to calculate nine divided by four times seven?
- (+ 10 1) 6	what is 10 + 1 minus 6?
- (- 7 9) 10	what is 7 extracted by 9 extracted by ten?
- (+ 6 9) 10	I want to calculate six plus nine extracted by ten?
+ (* 1 9) 1	I want to calculate one * 9 added with one?
- (/ 7 2) 8	How many is 7 / two minus eight?
- (/ 7 8) 2	what is 7 / 8 - two?
- (* 6 8) 1	I would like to know what is 6 * eight extracted by 1?
+ (+ 9 2) 9	what is nine plus 2 added with 9?
* (- 3 1) 2	I want to calculate three - 1 multiplied by 2?
+ (+ 7 9) 6	How many is 7 + nine plus 6?
/ (- 9 7) 8	How many is 9 - 7 / 8?
+ (* 2 6) 9	I want to calculate 2 times 6 added with nine?
+ (- 5 6) 9	I would like to know what is 5 extracted by six plus nine?
- (+ 10 1) 4	How many is ten plus 1 - four?
/ (- 3 5) 6	How many is 3 extracted by 5 / 6?
/ (/ 4 8) 1	How many is 4 / 8 divided by one?
/ (- 1 5) 7	I want to calculate one extracted by 5 / seven?
* (* 4 8) 8	what is 4 multiplied by 8 * 8?
/ (/ 3 4) 1	I would like to know what is three / 4 / 1?
+ (- 1 7) 6	what is one extracted by seven + six?
/ (- 7 7) 1	I would like to know what is 7 extracted by seven divided by one?
* (- 5 9) 8	I would like to know what is 5 minus nine times 8?
* (/ 6 9) 9	I would like to know what is six divided by nine multiplied by 9?
- (- 7 7) 10	I would like to know what is 7 minus 7 - 10?
- (- 5 10) 1	what is 5 minus 10 extracted by one?
+ (+ 10 2) 1	I would like to know what is ten added with 2 added with 1?
* (/ 2 5) 8	what is 2 divided by five * eight?
/ (* 2 9) 9	I would like to know what is 2 multiplied by 9 divided by nine?
+ (+ 2 2) 1	I want to calculate 2 plus two added with 1?
+ (+ 4 6) 2	I want to calculate four plus 6 added with two?
* (* 7 5) 2	what is 7 * 5 multiplied by two?
- (+ 3 5) 6	How many is three added with 5 extracted by 6?
/ (/ 3 9) 2	I want to calculate three divided by nine / 2?
/ (* 1 1) 2	How many is 1 times one / 2?
- (- 5 4) 8	I would like to know what is five minus four extracted by eight?
* (- 5 6) 6	I would like to know what is 5 - 6 * 6?
* (+ 7 1) 1	I would like to know what is seven plus 1 multiplied by 1?
+ (* 1 4) 10	How many is one * four added with 10?
/ (/ 8 5) 4	How many is 8 / five / 4?
- (+ 6 2) 4	what is six + two minus four?
* (/ 10 4) 1	How many is 10 divided by 4 multiplied by one?
* (* 4 10) 9	I would like to know what is 4 multiplied by 10 multiplied by nine?
+ (+ 4 10) 2	How many is four plus 10 + two?
* (+ 5 2) 1	How many is five + 2 times 1?
+ (- 6 7) 7	I want to calculate 6 minus seven + 7?
/ (/ 7 6) 3	How many is seven / six / three?
* (- 3 6) 10	I want to calculate 3 extracted by 6 multiplied by 10?
- (/ 4 3) 10	How many is four / 3 minus 10?
/ (- 1 5) 9	I want to calculate one - 5 / nine?
- (/ 8 6) 8	I want to calculate eight divided by six - 8?
/ (/ 9 8) 8	what is 9 / eight divided by eight?
- (/ 4 7) 3	I would like to know what is four divided by seven extracted by 3?
- (* 7 2) 7	How many is 7 * 2 - seven?
/ (+ 10 6) 3	what is ten + 6 divided by three?
+ (+ 7 10) 5	How many is seven + ten plus five?
/ (* 1 2) 6	How many is one times 2 divided by 6?
* (/ 1 10) 3	I want to calculate 1 divided by 10 * 3?
* (/ 4 5) 1	How many is four / 5 * 1?
+ (+ 6 10) 8	what is 6 plus ten added with 8?
* (- 2 8) 1	I want to calculate two extracted by 8 times one?
- (/ 3 6) 2	I want to calculate three divided by six minus two?
- (/ 3 4) 5	what is three divided by 4 minus 5?
+ (/ 3 2) 5	what is 3 / two added with 5?
* (/ 1 2) 4	How many is one / 2 * four?
* (- 3 5) 10	what is three - five * ten?
/ (+ 8 9) 2	How many is 8 plus nine / 2?
/ (/ 4 4) 8	I want to calculate 4 divided by 4 divided by 8?
* (* 4 3) 10	How many is 4 times three multiplied by 10?
- (* 8 2) 6	I would like to know what is 8 times 2 minus six?
* (/ 7 8) 1	I want to calculate 7 divided by eight * 1?
- (/ 4 2) 5	How many is four divided by two extracted by five?
+ (/ 7 4) 6	I want to calculate 7 / 4 added with 6?
- (/ 2 6) 5	what is two divided by 6 extracted by 5?
* (* 1 10) 9	what is one multiplied by 10 times nine?
- (+ 10 6) 2	what is ten added with six extracted by 2?
- (/ 9 4) 6	I would like to know what is nine / four extracted by six?
* (* 4 2) 10	How many is four times two times ten?
* (/ 7 10) 8	what is 7 / 10 * eight?
- (* 7 1) 9	what is seven multiplied by one extracted by 9?
+ (+ 10 8) 6	I would like to know what is ten plus 8 plus six?
+ (- 5 8) 8	I want to calculate five minus eight plus 8?
/ (* 10 1) 7	I would like to know what is 10 times 1 / 7?
+ (+ 9 10) 7	I want to calculate nine added with ten plus 7?
+ (- 6 3) 9	How many is 6 extracted by three added with nine?
/ (* 4 9) 1	what is four multiplied by 9 / one?
- (/ 1 7) 1	I would like to know what is 1 divided by seven - 1?
- (- 6 3) 5	what is six extracted by three minus 5?
+ (* 2 5) 7	I would like to know what is two * 5 + seven?
+ (+ 9 3) 7	what is 9 added with three + 7?
/ (* 7 2) 3	what is 7 multiplied by 2 / three?
* (/ 1 10) 10	what is one divided by 10 * ten?
- (/ 9 10) 8	I want to calculate 9 / 10 minus 8?
+ (- 10 7) 6	How many is 10 - seven plus six?
/ (+ 8 1) 10	I would like to know what is 8 plus 1 divided by ten?
/ (- 3 9) 6	I would like to know what is 3 minus 9 divided by 6?
* (+ 6 4) 1	How many is 6 + four times 1?
/ (/ 1 3) 2	I would like to know what is one divided by three / two?
* (+ 10 10) 9	I would like to know what is 10 added with ten * nine?
+ (- 6 4) 10	How many is six extracted by four added with ten?
+ (- 2 9) 2	I want to calculate two minus 9 + two?
* (/ 9 4) 3	How many is nine divided by 4 multiplied by 3?
/ (/ 8 8) 10	I would like to know what is 8 / 8 / 10?
/ (/ 10 5) 4	I want to calculate 10 divided by 5 divided by four?
* (+ 3 6) 1	I want to calculate 3 + six times 1?
- (* 7 6) 6	I want to calculate seven * 6 extracted by six?
- (+ 10 5) 5	I want to calculate 10 plus 5 minus five?
/ (+ 6 8) 4	How many is 6 + eight divided by four?
+ (/ 8 4) 4	I want to calculate 8 divided by four plus four?
+ (- 8 8) 7	what is 8 minus eight added with 7?
/ (- 5 8) 5	How many is five extracted by eight / five?
+ (- 8 7) 10	I would like to know what is eight - 7 plus 10?
/ (- 7 6) 5	what is 7 extracted by 6 divided by 5?
* (* 5 7) 5	I want to calculate five times 7 times five?
* (/ 5 5) 9	I want to calculate five / five times 9?
+ (/ 8 8) 7	what is 8 / 8 added with seven?
/ (+ 4 2) 5	I would like to know what is four added with 2 / five?
* (/ 2 5) 6	I want to calculate 2 divided by 5 times six?
/ (/ 9 6) 8	How many is nine / 6 / 8?
* (- 6 4) 5	I want to calculate 6 - four multiplied by five?
* (* 10 9) 4	I would like to know what is ten * nine times four?
* (* 2 7) 7	I would like to know what is 2 times seven multiplied by 7?
- (* 8 6) 2	I would like to know what is eight * 6 extracted by 2?
* (/ 2 8) 10	I want to calculate 2 divided by eight times 10?
/ (/ 9 10) 6	How many is nine divided by 10 divided by six?
/ (+ 3 2) 1	what is 3 + 2 / 1?
* (- 2 1) 8	How many is 2 minus one * eight?
* (* 7 8) 1	I would like to know what is 7 times 8 times 1?
+ (+ 5 8) 9	what is five + 8 + nine?
- (* 1 2) 9	How many is 1 * two extracted by nine?
+ (* 6 6) 1	I would like to know what is 6 * six plus one?
* (+ 8 10) 8	I want to calculate eight plus ten * 8?
+ (- 7 3) 10	I want to calculate 7 extracted by 3 + ten?
/ (/ 9 10) 10	what is nine / 10 divided by ten?
+ (+ 5 1) 5	I want to calculate five + one plus five?
- (+ 9 8) 10	what is nine + 8 extracted by 10?
* (+ 5 8) 3	I want to calculate 5 plus eight times 3?
/ (+ 9 4) 4	I would like to know what is nine added with 4 / 4?
- (* 2 6) 7	I want to calculate 2 times 6 - seven?
- (* 4 10) 10	what is 4 times 10 - ten?
- (- 10 5) 6	what is ten minus five extracted by 6?
- (* 3 10) 2	I would like to know what is 3 multiplied by 10 extracted by 2?
* (* 2 9) 9	How many is 2 * 9 * nine?
/ (+ 7 1) 1	I would like to know what is 7 + 1 divided by 1?
+ (+ 8 10) 4	I want to calculate 8 plus ten + 4?
* (* 2 8) 3	How many is 2 * 8 multiplied by 3?
+ (* 7 8) 6	what is seven * eight plus 6?
/ (* 4 6) 10	I would like to know what is 4 * 6 divided by ten?
+ (- 7 9) 3	How many is 7 minus nine added with three?
+ (/ 10 5) 10	I would like to know what is 10 / 5 added with ten?
/ (- 4 9) 10	I want to calculate 4 - 9 divided by ten?
/ (* 4 6) 1	I would like to know what is four multiplied by six divided by one?
* (/ 1 10) 5	what is 1 divided by ten multiplied by five?
* (+ 2 8) 2	How many is 2 + 8 multiplied by 2?
/ (* 7 6) 3	I would like to know what is 7 * six divided by three?
- (/ 8 7) 7	what is 8 / 7 extracted by seven?
* (+ 6 10) 10	I would like to know what is 6 + 10 times 10?
* (+ 7 2) 8	How many is 7 + two multiplied by 8?
+ (* 1 10) 9	How many is 1 multiplied by ten plus nine?
* (/ 4 3) 4	I want to calculate 4 divided by three * four?
* (/ 10 2) 8	How many is 10 / 2 multiplied by 8?
+ (- 7 5) 5	How many is seven extracted by 5 + 5?
/ (- 6 1) 8	I would like to know what is six extracted by one / 8?
* (* 10 10) 10	I would like to know what is 10 * 10 multiplied by ten?
* (/ 5 10) 6	I want to calculate five divided by ten multiplied by six?
* (+ 1 10) 5	I would like to know what is 1 + ten * 5?
+ (- 10 9) 6	How many is ten minus 9 + 6?
/ (- 3 4) 9	How many is 3 - 4 / nine?
/ (+ 2 2) 3	How many is 2 + two / 3?
+ (+ 4 4) 5	I want to calculate four plus 4 added with 5?
+ (* 10 9) 1	what is 10 times nine added with 1?
* (/ 7 10) 10	How many is seven divided by 10 times 10?
/ (/ 8 5) 10	How many is 8 divided by 5 divided by ten?
* (/ 4 5) 2	what is four / five multiplied by two?
/ (- 1 9) 10	How many is 1 extracted by 9 / 10?
* (+ 3 3) 5	what is 3 added with 3 * 5?
* (/ 10 2) 2	I want to calculate 10 divided by 2 * 2?
/ (- 2 10) 2	what is 2 extracted by 10 / two?
+ (+ 8 4) 9	I want to calculate 8 added with four + nine?
+ (/ 4 2) 2	How many is four / two plus two?
- (+ 10 5) 7	what is 10 plus five - seven?
* (+ 7 7) 3	what is seven + seven * 3?
* (+ 10 5) 1	I would like to know what is 10 added with five multiplied by 1?
* (+ 5 6) 6	I would like to know what is five added with 6 multiplied by six?
/ (+ 8 2) 7	How many is eight plus 2 divided by 7?
* (+ 5 9) 3	How many is five added with 9 times three?
/ (* 2 9) 10	what is two multiplied by 9 divided by 10?
/ (+ 4 7) 8	I want to calculate four + 7 / eight?
* (* 6 10) 6	I want to calculate 6 multiplied by ten multiplied by 6?
- (- 8 7) 2	How many is eight extracted by 7 - 2?
/ (+ 7 4) 6	I want to calculate 7 + 4 / 6?
- (+ 7 1) 7	How many is 7 + 1 minus 7?
* (* 6 1) 7	I would like to know what is 6 * 1 times seven?
* (+ 8 9) 2	How many is eight plus nine multiplied by two?
/ (/ 9 9) 10	I want to calculate nine divided by nine / 10?
+ (* 8 4) 6	I would like to know what is 8 * four + 6?
- (- 1 3) 3	I would like to know what is one extracted by 3 extracted by 3?
+ (+ 9 9) 10	I would like to know what is nine added with nine added with ten?
- (/ 9 5) 5	what is nine divided by five extracted by 5?
/ (- 8 5) 6	I would like to know what is eight minus five divided by 6?
/ (+ 1 10) 4	what is 1 plus ten divided by 4?
+ (- 9 5) 5	I want to calculate nine extracted by 5 added with 5?
- (+ 3 8) 7	I want to calculate 3 + 8 - 7?
+ (+ 4 7) 5	How many is four added with seven plus 5?
* (/ 9 8) 8	I would like to know what is 9 / eight times 8?
- (+ 8 1) 1	I want to calculate eight plus one minus 1?
+ (- 5 4) 2	I want to calculate 5 - 4 added with two?
+ (- 4 4) 10	what is four - 4 + ten?
/ (+ 4 4) 1	How many is 4 + four divided by one?
+ (+ 8 4) 3	I would like to know what is 8 + four + three?
* (- 1 8) 6	How many is one - 8 multiplied by six?
- (+ 9 1) 2	How many is nine added with 1 minus 2?
* (* 10 9) 6	I would like to know what is ten times nine * 6?
/ (+ 5 9) 2	I want to calculate five + 9 divided by 2?
/ (+ 2 8) 10	what is 2 added with eight / ten?
- (- 1 9) 2	what is one minus nine minus two?
+ (- 5 4) 5	How many is five minus four plus 5?
/ (/ 2 3) 1	I would like to know what is two / three divided by 1?
+ (* 8 1) 6	I want to calculate eight * one + six?
+ (- 2 6) 8	How many is two - 6 plus 8?
* (- 9 3) 10	what is 9 minus three * 10?
- (- 9 5) 4	How many is 9 - 5 - 4?
* (/ 8 7) 7	what is 8 / seven multiplied by 7?
+ (* 2 1) 5	How many is 2 times 1 added with five?
+ (/ 8 4) 4	I want to calculate eight / 4 plus four?
/ (- 7 6) 1	How many is 7 extracted by six / 1?
+ (* 6 9) 5	How many is 6 times 9 added with 5?
- (+ 10 8) 10	what is ten + 8 - 10?
- (+ 9 5) 9	How many is 9 added with five extracted by nine?
/ (+ 7 8) 10	I want to calculate seven added with 8 divided by ten?
+ (/ 4 5) 8	I want to calculate 4 divided by five added with eight?
/ (- 5 3) 5	I would like to know what is 5 extracted by three divided by 5?
/ (- 1 6) 9	How many is 1 extracted by 6 divided by 9?
- (- 3 7) 8	I would like to know what is three extracted by 7 minus eight?
+ (+ 3 1) 6	I would like to know what is 3 plus one + 6?
/ (+ 7 9) 6	How many is 7 plus 9 / 6?
- (* 8 8) 6	I want to calculate 8 * 8 - six?
* (- 5 9) 3	I would like to know what is five minus nine times 3?
+ (/ 4 2) 4	what is 4 divided by 2 + four?
- (- 10 3) 9	How many is 10 extracted by three minus nine?
/ (- 2 7) 4	I would like to know what is 2 extracted by seven / 4?
* (+ 2 9) 9	I want to calculate two added with nine * nine?
- (+ 3 5) 10	I would like to know what is three added with 5 - 10?
/ (+ 6 10) 4	I would like to know what is six added with ten divided by 4?
* (* 6 9) 3	How many is six times nine times three?
/ (/ 9 10) 1	what is 9 / 10 divided by one?
/ (* 10 7) 3	what is ten * 7 divided by three?
+ (* 7 9) 8	I want to calculate 7 times 9 + eight?
- (- 10 7) 2	what is ten extracted by seven extracted by two?
+ (+ 4 4) 6	How many is four added with four plus 6?
* (- 7 1) 5	I would like to know what is seven - one * 5?
+ (/ 8 2) 4	I want to calculate eight / two added with four?
* (- 10 1) 3	what is ten minus one multiplied by three?
- (- 5 7) 4	I would like to know what is 5 - 7 - 4?
/ (/ 10 6) 9	I want to calculate 10 divided by six divided by 9?
* (* 1 1) 1	I would like to know what is 1 times one multiplied by 1?
/ (+ 4 2) 1	what is 4 + two / 1?
/ (/ 2 3) 4	I would like to know what is two divided by three / 4?
+ (/ 10 5) 7	what is 10 / 5 added with seven?
/ (/ 1 8) 7	what is 1 / 8 divided by 7?
/ (* 9 10) 10	I would like to know what is nine * 10 divided by 10?
* (/ 6 2) 7	I want to calculate 6 divided by 2 * seven?
* (* 8 3) 7	I would like to know what is eight times 3 * 7?
+ (- 7 9) 1	what is 7 extracted by 9 added with one?
* (/ 5 10) 8	what is five divided by 10 * eight?
- (* 7 2) 7	How many is seven * two minus 7?
/ (/ 5 5) 10	what is 5 / five divided by 10?
+ (- 6 7) 4	what is 6 - 7 added with 4?
+ (* 9 6) 2	How many is nine multiplied by 6 added with two?
+ (+ 3 4) 2	How many is 3 added with four plus two?
- (+ 7 8) 6	what is seven plus eight extracted by 6?
+ (/ 4 3) 9	I would like to know what is four divided by 3 + 9?
* (/ 9 2) 5	what is 9 divided by two * five?
* (/ 10 1) 5	I want to calculate ten divided by one * 5?
/ (+ 3 10) 1	what is 3 added with 10 / 1?
- (/ 5 5) 7	How many is five / five minus seven?
+ (* 10 2) 6	I would like to know what is ten times two + 6?
/ (/ 3 8) 7	How many is three / eight / seven?
+ (* 3 7) 1	what is 3 multiplied by 7 added with one?
/ (/ 2 9) 1	How many is two divided by 9 divided by 1?
+ (* 9 4) 2	what is nine times 4 plus 2?
* (* 8 5) 9	I want to calculate eight * 5 times nine?
